EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel
3500,2018-11-20,2020-06-21,Sales,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Logistics / Maintenance,,South,Maintenance & Logistics,Female,80424,White,Divorced,Fully Meets,1,False,,579,Manager
3501,2020-08-30,2022-08-30,Sales,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General Operations,,South,Field Operations,Male,6240,Other,Widowed,Fully Meets,4,False,,730,Manager
3502,2019-10-01,,Sales,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Field Engineering / Operations,,South,Other,Male,49914,White,Married,Fully Meets,1,True,,2100,Manager
3503,2022-01-20,,Sales,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Project Management,,Other,Project / Site Management,Male,71319,Other,Single,Fully Meets,4,True,,1258,Manager
3504,2021-10-10,,Sales,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General Operations,,Other,Labor & Site Work,Male,27992,Hispanic,Married,Fully Meets,2,True,,1360,Manager
3505,2020-08-29,,Sales,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,,Midwest,Labor & Site Work,Male,72324,Hispanic,Widowed,Fully Meets,1,True,,1767,Manager
3506,2019-08-27,2023-05-10,Sales,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Fund nor half early miss follow.,Sales,Field Engineering / Operations,1988,Midwest,Field Operations,Male,38740,Other,Married,Fully Meets,2,False,36.98562628336756,1352,Manager
3507,2021-02-25,2023-04-07,Sales,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Line later deal stand sometimes too mind.,Sales,Project Management,,West,Project / Site Management,Male,9437,White,Single,Fully Meets,4,False,,771,Manager
3508,2021-07-13,,Sales,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Field Engineering / Operations,,West,Labor & Site Work,Male,9385,Asian,Single,Fully Meets,5,True,,1449,Manager
3509,2021-04-14,,Sales,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,General Operations,1977,South,Project / Site Management,Female,75993,Black,Married,Fully Meets,2,True,47.65503080082136,1539,Manager
3510,2020-02-10,,Sales,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,General Operations,,South,Labor & Site Work,Female,65329,Hispanic,Married,Fully Meets,2,True,,1968,Manager
3511,2021-08-17,2021-12-31,Sales,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Tell paper every.,Sales,Finance,,South,Executive & Leadership,Female,41111,Asian,Divorced,Fully Meets,4,False,,136,Manager
3512,2023-04-17,2023-06-22,Sales,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Why sport must page bad.,Sales,Logistics / Maintenance,,South,Project / Site Management,Female,58860,Black,Single,Fully Meets,2,False,,66,Manager
3513,2022-09-02,2023-05-24,Sales,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Something sense information final building.,Sales,General Operations,,South,Labor & Site Work,Male,93051,Other,Married,Fully Meets,5,False,,264,Manager
3514,2020-04-15,,Sales,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Field Engineering / Operations,1958,South,Project / Site Management,Male,17419,Asian,Married,Fully Meets,1,True,67.49075975359342,1903,Manager
3515,2022-03-09,2022-12-10,Sales,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,School see rest firm I.,Sales,Finance,,Other,Finance & Analysis,Male,59593,White,Single,Fully Meets,4,False,,276,Manager
3516,2022-04-07,2023-01-22,Sales,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Retirement,Source doctor rock group this.,Sales,Project Management,,Other,Project / Site Management,Male,96350,Asian,Divorced,Fully Meets,5,False,,290,Manager
3517,2020-02-19,,Sales,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Engineering / Operations,1942,Midwest,Other,Male,44469,Hispanic,Widowed,Fully Meets,4,True,83.4880219028063,1959,Manager
3518,2021-04-10,2022-07-04,Sales,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Little imagine career he produce program.,Sales,General Operations,,West,Project / Site Management,Female,13249,Hispanic,Married,Fully Meets,2,False,,450,Manager
3519,2021-12-19,2022-03-02,Sales,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Your very trip successful memory to while out.,Sales,Field Engineering / Operations,,West,Labor & Site Work,Male,17123,Hispanic,Widowed,Fully Meets,2,False,,73,Manager
3520,2020-12-13,2023-01-13,Sales,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Red some option.,Sales,Project Management,1963,Midwest,Project / Site Management,Female,18983,Black,Divorced,Fully Meets,1,False,62.33538672142368,761,Manager
3521,2019-02-26,,Sales,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,General Operations,,South,Other,Female,51795,Asian,Divorced,Fully Meets,4,True,,2317,Manager
3522,2020-03-02,,Sales,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Field Engineering / Operations,1983,South,Other,Female,34369,Other,Single,Fully Meets,1,True,41.71937029431896,1947,Manager
3523,2021-06-25,2022-08-25,Sales,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Theory grow future week house.,Sales,General Operations,,South,Labor & Site Work,Female,23092,Other,Single,Fully Meets,2,False,,426,Manager
3524,2021-07-26,2022-05-04,Sales,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Inside week also so.,Sales,Field Engineering / Operations,1999,South,Labor & Site Work,Male,6074,Asian,Divorced,Fully Meets,2,False,25.637234770705,282,Manager
3525,2022-07-03,2023-01-10,Sales,Stephanie Duke,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Surface vote old picture.,Sales,General Operations,,South,Project / Site Management,Male,72264,Hispanic,Single,Fully Meets,2,False,,191,Manager
3526,2022-09-15,,Sales,Paige Flores MD,NEL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General Operations,,South,Project / Site Management,Male,28282,White,Widowed,Fully Meets,4,True,,1020,Manager
3527,2020-05-01,2021-02-25,Sales,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Retirement,Especially thing recognize year fine shoulder.,Sales,Field Engineering / Operations,,Other,Field Operations,Male,46645,Black,Married,Fully Meets,1,False,,300,Manager
3528,2022-10-13,,Sales,William Ayala,PYZ,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Finance,,Other,Finance & Analysis,Male,10790,Hispanic,Widowed,Fully Meets,2,True,,992,Manager
3529,2020-01-03,2020-08-24,Sales,Samuel Moore,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Camera spring color about energy provide claim.,Sales,Field Engineering / Operations,,Midwest,Other,Male,67282,Hispanic,Single,Fully Meets,2,False,,234,Manager
3530,2019-11-13,,Sales,Jenna Weaver,TNS,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Field Engineering / Operations,,West,Field Operations,Female,62321,Black,Widowed,Fully Meets,2,True,,2057,Manager
3531,2023-06-17,,Sales,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management,,West,Project / Site Management,Male,18409,Black,Divorced,Fully Meets,1,True,,745,Manager
3532,2021-10-14,,Sales,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,Unk,,IT/IS,Other,,West,Field Operations,Female,40306,Black,Widowed,Fully Meets,1,True,,1356,Manager
3533,2021-06-01,2023-07-16,Sales,Kelsey Gibson,MSC,Active,Contract,Zone B,Full-Time,Voluntary,Pass language out side age evidence.,Sales,General Operations,1966,Midwest,Admin & Support,Male,65183,White,Married,Fully Meets,2,False,58.63381245722108,775,Manager
3534,2018-09-14,,Sales,Sonia Diaz,TNS,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Field Engineering / Operations,,South,Engineering,Female,97002,Asian,Single,Fully Meets,4,True,,2482,Manager
3535,2018-12-11,2022-06-02,Sales,Brian Morton,PYZ,Active,Full-Time,Zone A,Temporary,Retirement,Popular west moment natural step activity.,Sales,Field Engineering / Operations,1994,South,Engineering,Female,29811,Black,Single,Fully Meets,4,False,31.408624229979463,1269,Manager
3536,2022-08-06,,Sales,Thomas Holmes,WBL,Active,Contract,Zone C,Temporary,Unk,,Sales,General Operations,1989,South,Admin & Support,Female,89169,Black,Single,Fully Meets,2,True,36.492813141683776,1060,Manager
3537,2022-05-28,2023-02-24,Sales,Dawn Perez,NEL,Future Start,Contract,Zone C,Part-Time,Retirement,Manager lead both sing.,Sales,Field Engineering / Operations,1954,South,Project / Site Management,Male,63882,Hispanic,Married,Fully Meets,2,False,70.97330595482546,272,Manager
3538,2019-06-16,2022-03-05,Sales,Diane Parker,PL,Future Start,Part-Time,Zone C,Part-Time,Resignation,And after why station much cell low.,Sales,Field Engineering / Operations,,South,Engineering,Male,62328,Asian,Widowed,Fully Meets,2,False,,993,Manager
3539,2019-12-08,,Sales,John Johnson,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,General Operations,,Other,Project / Site Management,Male,74448,Hispanic,Single,Fully Meets,5,True,,2032,Manager
