EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel,StartYear,GroupMeanAge,SampleCount
3454,2022-09-11,,Sales,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General Operations,1969,South,Project / Site Management,Male,10415,Hispanic,Married,Needs Improvement,4,True,55.76284518302418,1024,Manager,2022,53.88320577437621,132
3455,2021-06-29,2022-07-05,Sales,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management,1970,South,Project / Site Management,Male,3763,Other,Widowed,Exceeds,4,False,55.21297633757789,371,Manager,2021,53.88320577437621,132
3456,2023-03-06,,Sales,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Engineering / Operations,1972,South,Field Operations,Female,79623,Black,Divorced,Fully Meets,3,True,52.73256221708931,848,Manager,2023,53.88320577437621,132
3457,2020-09-25,,Sales,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,1972,South,Field Operations,Female,69189,White,Divorced,Needs Improvement,3,True,52.61050564320461,1740,Manager,2020,53.88320577437621,132
3458,2022-04-28,2023-05-24,Sales,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Engineering / Operations,1970,South,Labor & Site Work,Female,5194,Hispanic,Single,Needs Improvement,3,False,28.88432580424367,391,Manager,2022,53.88320577437621,132
3459,2021-04-18,2022-06-21,Sales,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General Operations,1970,South,Other,Male,8779,Black,Widowed,Exceeds,2,False,81.39082819986311,429,Manager,2021,53.88320577437621,132
3460,2020-02-19,,Sales,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Field Engineering / Operations,1970,South,Field Operations,Male,74682,Asian,Married,Fully Meets,3,True,81.38809034907598,1959,Manager,2020,53.88320577437621,132
3461,2019-07-18,2021-10-01,Sales,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General Operations,1972,Other,Project / Site Management,Male,78046,Hispanic,Married,Needs Improvement,1,False,52.61682381378994,806,Manager,2019,53.88320577437621,132
3462,2018-09-13,2021-09-17,Sales,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Engineering / Operations,1970,Other,Project / Site Management,Male,27270,Hispanic,Divorced,Needs Improvement,3,False,82.89390828199863,1100,Manager,2018,53.88320577437621,132
3463,2020-04-30,2021-07-18,Sales,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Engineering / Operations,1972,Midwest,Field Operations,Male,12703,Hispanic,Single,Fully Meets,1,False,53.10017474621436,444,Manager,2020,53.88320577437621,132
3464,2018-12-03,2022-09-09,Sales,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Logistics / Maintenance,1971,Northeast,Maintenance & Logistics,Male,66835,Black,Widowed,Needs Improvement,5,False,53.98223150090516,1376,Manager,2018,53.88320577437621,132
3465,2021-11-08,,Sales,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General Operations,1970,Northeast,Labor & Site Work,Male,66150,Asian,Divorced,Needs Improvement,3,True,63.4798083504449,1331,Manager,2021,53.88320577437621,132
3466,2022-04-13,2023-04-10,Sales,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Field Engineering / Operations,1971,South,Project / Site Management,Male,64288,Other,Married,Exceeds,4,False,53.61098584894467,362,Manager,2022,53.88320577437621,132
3467,2020-05-06,,Sales,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Field Engineering / Operations,1972,South,Engineering,Female,94333,Asian,Divorced,Exceeds,1,True,53.04812233516837,1882,Manager,2020,53.88320577437621,132
3468,2019-09-09,,Sales,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,1971,South,Project / Site Management,Female,45453,Black,Single,Fully Meets,4,True,54.33061735326572,2122,Manager,2019,53.88320577437621,132
3469,2020-07-29,2023-01-05,Sales,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Engineering / Operations,1973,South,Other,Female,81905,Asian,Divorced,Needs Improvement,3,False,52.441181216984376,890,Manager,2020,53.88320577437621,132
3470,2018-11-14,2019-10-28,Sales,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Engineering / Operations,1972,South,Field Operations,Female,12491,Black,Married,Needs Improvement,3,False,53.05178436851708,348,Manager,2018,53.88320577437621,132
3471,2020-02-29,,Sales,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Engineering / Operations,1970,South,Project / Site Management,Male,64350,Asian,Married,Fully Meets,4,True,58.49144421629021,1949,Manager,2020,53.88320577437621,132
3472,2023-01-15,,Sales,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management,1970,South,Executive & Leadership,Male,74124,Other,Married,Exceeds,4,True,43.46611909650924,898,Manager,2023,53.88320577437621,132
3473,2023-06-29,,Sales,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Logistics / Maintenance,1970,Other,Project / Site Management,Male,33379,Hispanic,Widowed,Exceeds,2,True,74.74880219028063,733,Manager,2023,53.88320577437621,132
3474,2020-03-09,,Sales,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Engineering / Operations,1972,Other,Labor & Site Work,Male,34481,Other,Divorced,Fully Meets,2,True,53.348653147550976,1940,Manager,2020,53.88320577437621,132
3475,2021-09-21,2023-04-13,Sales,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General Operations,1971,Midwest,Project / Site Management,Male,90406,Asian,Widowed,Fully Meets,2,False,53.70748571124435,569,Manager,2021,53.88320577437621,132
3476,2023-06-12,2023-07-06,Sales,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Field Engineering / Operations,1970,Northeast,Engineering,Male,95774,Asian,Divorced,Needs Improvement,2,False,55.02390961994826,24,Manager,2023,53.88320577437621,132
3477,2019-04-07,,Sales,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Field Engineering / Operations,1970,South,Labor & Site Work,Female,16058,Asian,Widowed,Needs Improvement,2,True,55.57563312799452,2277,Manager,2019,53.88320577437621,132
3478,2018-09-17,2019-01-09,Sales,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Field Engineering / Operations,1970,South,Labor & Site Work,Female,45149,Hispanic,Married,Fully Meets,2,False,67.72347707049965,114,Manager,2018,53.88320577437621,132
3479,2022-08-02,2023-04-02,Sales,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management,1972,South,Field Operations,Female,96336,Hispanic,Widowed,Fully Meets,2,False,52.68190090300965,243,Manager,2022,53.88320577437621,132
3480,2022-09-08,2022-10-16,Sales,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Field Engineering / Operations,1970,South,Project / Site Management,Female,75671,Black,Widowed,Fully Meets,1,False,78.89390828199863,38,Manager,2022,53.88320577437621,132
3481,2019-03-07,2021-05-31,Sales,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Field Engineering / Operations,1970,South,Other,Male,61149,Other,Widowed,Fully Meets,4,False,59.553730321697465,816,Manager,2019,53.88320577437621,132
3482,2019-10-29,2021-02-07,Sales,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Field Engineering / Operations,1970,South,Field Operations,Male,57302,Asian,Divorced,Needs Improvement,2,False,35.383983572895275,467,Manager,2019,53.88320577437621,132
3483,2021-09-26,,Sales,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management,1971,Other,Project / Site Management,Male,42605,Asian,Widowed,Fully Meets,1,True,53.94014352803065,1374,Manager,2021,53.88320577437621,132
3484,2018-08-29,,Sales,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General Operations,1971,Other,Admin & Support,Male,64036,Other,Single,Fully Meets,4,True,54.252864049824375,2498,Manager,2018,53.88320577437621,132
3485,2021-10-26,,Sales,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Engineering / Operations,1973,Other,Labor & Site Work,Male,23173,White,Widowed,Fully Meets,5,True,52.069007425256196,1344,Manager,2021,53.88320577437621,132
3486,2022-10-31,2023-06-08,Sales,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Field Engineering / Operations,1971,Midwest,Engineering,Male,19665,Other,Widowed,Fully Meets,4,False,54.313385181981964,220,Manager,2022,53.88320577437621,132
3487,2023-03-15,,Sales,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General Operations,1970,South,Admin & Support,Female,41161,Other,Divorced,Fully Meets,4,True,31.4113620807666,839,Manager,2023,53.88320577437621,132
3488,2022-09-09,,Sales,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Engineering / Operations,1970,South,Field Operations,Female,52499,Asian,Single,Fully Meets,2,True,27.633127994524298,1026,Manager,2022,53.88320577437621,132
3489,2022-03-04,,Sales,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Engineering / Operations,1970,South,Labor & Site Work,Female,25634,Black,Divorced,Fully Meets,2,True,72.16427104722793,1215,Manager,2022,53.88320577437621,132
3490,2019-02-11,,Sales,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General Operations,1970,South,Executive & Leadership,Female,37965,Hispanic,Divorced,Fully Meets,2,True,33.97672826830938,2332,Manager,2019,53.88320577437621,132
3491,2021-01-26,,Sales,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Engineering / Operations,1970,South,Other,Male,39504,White,Widowed,Fully Meets,5,True,52.07939767282683,1617,Manager,2021,53.88320577437621,132
3492,2019-11-26,,Sales,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General Operations,1970,Other,Admin & Support,Male,31676,Asian,Married,Fully Meets,1,True,32.47638603696099,2044,Manager,2019,53.88320577437621,132
3493,2019-07-15,,Sales,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management,1972,Other,Project / Site Management,Male,28784,Asian,Widowed,Fully Meets,5,True,52.565302269125375,2178,Manager,2019,53.88320577437621,132
3494,2020-06-18,,Sales,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General Operations,1970,Other,Field Operations,Male,90983,Black,Single,Fully Meets,4,True,31.392197125256672,1839,Manager,2020,53.88320577437621,132
3495,2023-06-22,2023-07-22,Sales,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Field Engineering / Operations,1973,Midwest,Labor & Site Work,Male,1115,Other,Married,Fully Meets,4,False,52.143412146317324,30,Manager,2023,53.88320577437621,132
3496,2021-12-02,,Sales,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General Operations,1969,West,Admin & Support,Male,72233,Other,Widowed,Fully Meets,5,True,55.678747923389544,1307,Manager,2021,53.88320577437621,132
3497,2021-12-08,,Sales,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management,1969,West,Field Operations,Female,58210,Hispanic,Widowed,Fully Meets,1,True,55.745733906674445,1301,Manager,2021,53.88320577437621,132
3498,2023-04-26,2023-06-22,Sales,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General Operations,1970,South,Labor & Site Work,Female,36087,White,Widowed,Fully Meets,2,False,55.11679516684205,57,Manager,2023,53.88320577437621,132
3499,2018-09-25,2021-12-20,Sales,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Engineering / Operations,1972,South,Field Operations,Female,61457,Asian,Widowed,Fully Meets,5,False,53.10166085106969,1182,Manager,2018,53.88320577437621,132
3500,2018-11-20,2020-06-21,Sales,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Logistics / Maintenance,1973,South,Maintenance & Logistics,Female,80424,White,Divorced,Fully Meets,1,False,52.273894230401744,579,Manager,2018,53.88320577437621,132
3501,2020-08-30,2022-08-30,Sales,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General Operations,1970,South,Field Operations,Male,6240,Other,Widowed,Fully Meets,4,False,54.620137880424835,730,Manager,2020,53.88320577437621,132
3502,2019-10-01,,Sales,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Field Engineering / Operations,1971,South,Other,Male,49914,White,Married,Fully Meets,1,True,53.643815749334614,2100,Manager,2019,53.88320577437621,132
3503,2022-01-20,,Sales,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Project Management,1973,Other,Project / Site Management,Male,71319,Other,Single,Fully Meets,4,True,52.37135871375532,1258,Manager,2022,53.88320577437621,132
3504,2021-10-10,,Sales,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General Operations,1971,Other,Labor & Site Work,Male,27992,Hispanic,Married,Fully Meets,2,True,53.86391341482129,1360,Manager,2021,53.88320577437621,132
3505,2020-08-29,,Sales,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,1973,Midwest,Labor & Site Work,Male,72324,Hispanic,Widowed,Fully Meets,1,True,52.02075985883708,1767,Manager,2020,53.88320577437621,132
3506,2019-08-27,2023-05-10,Sales,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Fund nor half early miss follow.,Sales,Field Engineering / Operations,1970,Midwest,Field Operations,Male,38740,Other,Married,Fully Meets,2,False,36.98562628336756,1352,Manager,2019,53.88320577437621,132
3507,2021-02-25,2023-04-07,Sales,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Line later deal stand sometimes too mind.,Sales,Project Management,1969,West,Project / Site Management,Male,9437,White,Single,Fully Meets,4,False,55.520487382691336,771,Manager,2021,53.88320577437621,132
3508,2021-07-13,,Sales,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Field Engineering / Operations,1972,West,Labor & Site Work,Male,9385,Asian,Single,Fully Meets,5,True,52.91832570077628,1449,Manager,2021,53.88320577437621,132
3509,2021-04-14,,Sales,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,General Operations,1970,South,Project / Site Management,Female,75993,Black,Married,Fully Meets,2,True,47.65503080082136,1539,Manager,2021,53.88320577437621,132
3510,2020-02-10,,Sales,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,General Operations,1970,South,Labor & Site Work,Female,65329,Hispanic,Married,Fully Meets,2,True,54.53329491179213,1968,Manager,2020,53.88320577437621,132
3511,2021-08-17,2021-12-31,Sales,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Tell paper every.,Sales,Finance,1972,South,Executive & Leadership,Female,41111,Asian,Divorced,Fully Meets,4,False,53.13005007873385,136,Manager,2021,53.88320577437621,132
3512,2023-04-17,2023-06-22,Sales,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Why sport must page bad.,Sales,Logistics / Maintenance,1971,South,Project / Site Management,Female,58860,Black,Single,Fully Meets,2,False,53.96347785908745,66,Manager,2023,53.88320577437621,132
3513,2022-09-02,2023-05-24,Sales,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Something sense information final building.,Sales,General Operations,1971,South,Labor & Site Work,Male,93051,Other,Married,Fully Meets,5,False,54.07004689174933,264,Manager,2022,53.88320577437621,132
3514,2020-04-15,,Sales,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Field Engineering / Operations,1970,South,Project / Site Management,Male,17419,Asian,Married,Fully Meets,1,True,67.49075975359342,1903,Manager,2020,53.88320577437621,132
3515,2022-03-09,2022-12-10,Sales,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,School see rest firm I.,Sales,Finance,1972,Other,Finance & Analysis,Male,59593,White,Single,Fully Meets,4,False,52.62262359647831,276,Manager,2022,53.88320577437621,132
3516,2022-04-07,2023-01-22,Sales,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Retirement,Source doctor rock group this.,Sales,Project Management,1969,Other,Project / Site Management,Male,96350,Asian,Divorced,Fully Meets,5,False,55.76154428543444,290,Manager,2022,53.88320577437621,132
3517,2020-02-19,,Sales,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Engineering / Operations,1970,Midwest,Other,Male,44469,Hispanic,Widowed,Fully Meets,4,True,83.4880219028063,1959,Manager,2020,53.88320577437621,132
3518,2021-04-10,2022-07-04,Sales,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Little imagine career he produce program.,Sales,General Operations,1970,West,Project / Site Management,Female,13249,Hispanic,Married,Fully Meets,2,False,54.98373706782067,450,Manager,2021,53.88320577437621,132
3519,2021-12-19,2022-03-02,Sales,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Your very trip successful memory to while out.,Sales,Field Engineering / Operations,1969,West,Labor & Site Work,Male,17123,Hispanic,Widowed,Fully Meets,2,False,55.64120154063296,73,Manager,2021,53.88320577437621,132
3520,2020-12-13,2023-01-13,Sales,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Red some option.,Sales,Project Management,1970,Midwest,Project / Site Management,Female,18983,Black,Divorced,Fully Meets,1,False,62.33538672142368,761,Manager,2020,53.88320577437621,132
3521,2019-02-26,,Sales,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,General Operations,1970,South,Other,Female,51795,Asian,Divorced,Fully Meets,4,True,55.462515176086804,2317,Manager,2019,53.88320577437621,132
3522,2020-03-02,,Sales,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Field Engineering / Operations,1970,South,Other,Female,34369,Other,Single,Fully Meets,1,True,41.71937029431896,1947,Manager,2020,53.88320577437621,132
3523,2021-06-25,2022-08-25,Sales,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Theory grow future week house.,Sales,General Operations,1971,South,Labor & Site Work,Female,23092,Other,Single,Fully Meets,2,False,54.27480568962055,426,Manager,2021,53.88320577437621,132
3524,2021-07-26,2022-05-04,Sales,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Inside week also so.,Sales,Field Engineering / Operations,1970,South,Labor & Site Work,Male,6074,Asian,Divorced,Fully Meets,2,False,25.637234770705,282,Manager,2021,53.88320577437621,132
