EmpID,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3451,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,15-01-1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3
3452,2022-11-08,,Area Sales Manager,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,7/1/1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2
3453,2022-10-13,,Area Sales Manager,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,7/4/1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4
3454,2022-09-11,,Area Sales Manager,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,29-01-1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4
3455,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,18-01-1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4
3456,2023-03-06,,Area Sales Manager,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,25-09-1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3
3457,2020-09-25,,Area Sales Manager,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,23-08-1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3
3458,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,12/8/1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3
3459,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,9/2/1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2
3460,2020-02-19,,Area Sales Manager,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,10/2/1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3
3461,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,29-12-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1
3462,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,9/8/1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3
3463,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
3464,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),17-06-1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5
3465,2021-11-08,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,7/1/1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3
3466,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,26-01-1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4
3467,2020-05-06,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1
3468,2019-09-09,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,26-04-1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4
3469,2020-07-29,2023-01-05,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,21-02-1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3
3470,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,31-05-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3
3471,2020-02-29,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,3/1/1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4
3472,2023-01-15,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,12/1/1982,TX,Director,Male,74124,Other,Married,Exceeds,4
3473,2023-06-29,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),1/10/1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2
3474,2020-03-09,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,16-12-1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2
3475,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,25-12-1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2
3476,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,20-06-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2
3477,2019-04-07,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,3/12/1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2
3478,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10/10/1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2
3479,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
3480,2022-09-08,2022-10-16,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,9/8/1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1
3481,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,11/12/1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4
3482,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,11/2/1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2
3483,2021-09-26,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,19-06-1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1
3484,2018-08-29,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,18-07-1995,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4
3485,2021-10-26,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,22-08-1994,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5
3486,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,14-11-1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4
3487,2023-03-15,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,1/2/1994,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4
3488,2022-09-09,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,12/11/1997,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2
3489,2022-03-04,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,2/5/1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2
3490,2019-02-11,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,10/7/1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
3491,2021-01-26,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,2/6/1973,TX,Driver,Male,39504,White,Widowed,Fully Meets,5
3492,2019-11-26,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,8/1/1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1
3493,2019-07-15,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,17-04-1984,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5
3494,2020-06-18,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,8/2/1994,CO,Technician,Male,90983,Black,Single,Fully Meets,4
3495,2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,27-01-1993,IN,Laborer,Male,1115,Other,Married,Fully Meets,4
3496,2021-12-02,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Sga,19-09-1964,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5
3497,2021-12-08,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,18-02-1981,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1
3498,2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,17-10-1998,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2
3499,2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,16-01-1971,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5
3500,2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),25-02-2000,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1
3501,2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General - Con,19-04-1959,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4
3502,2019-10-01,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Splicing,29-06-1976,TX,Electrician,Male,49914,White,Married,Fully Meets,1
3503,2022-01-20,,Area Sales Manager,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Project Management - Con,27-07-1951,CO,Manager,Male,71319,Other,Single,Fully Meets,4
3504,2021-10-10,,Area Sales Manager,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Con,23-08-1980,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2
3505,2020-08-29,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,24-07-1943,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1
3506,2019-08-27,2023-05-10,Area Sales Manager,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Fund nor half early miss follow.,Sales,Field Operations,6/7/1988,IN,Technician,Male,38740,Other,Married,Fully Meets,2
3507,2021-02-25,2023-04-07,Area Sales Manager,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Line later deal stand sometimes too mind.,Sales,Project Management - Con,24-03-1973,CA,Manager,Male,9437,White,Single,Fully Meets,4
3508,2021-07-13,,Area Sales Manager,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Aerial,26-05-1942,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5
3509,2021-04-14,,Area Sales Manager,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,General - Sga,4/11/1977,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2
3510,2020-02-10,,Area Sales Manager,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,General - Con,17-10-1956,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2
3511,2021-08-17,2021-12-31,Area Sales Manager,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Tell paper every.,Sales,Finance & Accounting,18-02-1997,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4
3512,2023-04-17,2023-06-22,Area Sales Manager,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Why sport must page bad.,Sales,Yard (Material Handling),25-10-1996,TX,Coordinator,Female,58860,Black,Single,Fully Meets,2
3513,2022-09-02,2023-05-24,Area Sales Manager,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Something sense information final building.,Sales,General - Con,13-11-1959,TX,Laborer,Male,93051,Other,Married,Fully Meets,5
3514,2020-04-15,,Area Sales Manager,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Wireline Construction,3/1/1958,TX,Manager,Male,17419,Asian,Married,Fully Meets,1
3515,2022-03-09,2022-12-10,Area Sales Manager,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,School see rest firm I.,Sales,Finance & Accounting,29-04-1997,CO,Controller,Male,59593,White,Single,Fully Meets,4
3516,2022-04-07,2023-01-22,Area Sales Manager,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Retirement,Source doctor rock group this.,Sales,Project Management - Con,25-06-1988,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5
3517,2020-02-19,,Area Sales Manager,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Splicing,4/1/1942,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4
3518,2021-04-10,2022-07-04,Area Sales Manager,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Little imagine career he produce program.,Sales,General - Eng,24-05-1969,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2
3519,2021-12-19,2022-03-02,Area Sales Manager,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Your very trip successful memory to while out.,Sales,Aerial,28-03-1951,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2
3520,2020-12-13,2023-01-13,Area Sales Manager,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Red some option.,Sales,Project Management - Con,1/3/1963,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1
3521,2019-02-26,,Area Sales Manager,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,General - Con,16-04-1949,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4
3522,2020-03-02,,Area Sales Manager,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Splicing,12/10/1983,KY,Splicer,Female,34369,Other,Single,Fully Meets,1
3523,2021-06-25,2022-08-25,Area Sales Manager,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Theory grow future week house.,Sales,General - Con,19-12-1978,KY,Laborer,Female,23092,Other,Single,Fully Meets,2
3524,2021-07-26,2022-05-04,Area Sales Manager,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Inside week also so.,Sales,Field Operations,11/11/1999,TX,Laborer,Male,6074,Asian,Divorced,Fully Meets,2
3525,2022-07-03,2023-01-10,Area Sales Manager,Stephanie Duke,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Surface vote old picture.,Sales,General - Con,29-01-1967,TX,Foreman,Male,72264,Hispanic,Single,Fully Meets,2
3526,2022-09-15,,Area Sales Manager,Paige Flores MD,NEL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,30-05-1948,TX,Foreman,Male,28282,White,Widowed,Fully Meets,4
3527,2020-05-01,2021-02-25,Area Sales Manager,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Retirement,Especially thing recognize year fine shoulder.,Sales,Aerial,15-10-1974,CO,Lineman,Male,46645,Black,Married,Fully Meets,1
3528,2022-10-13,,Area Sales Manager,William Ayala,PYZ,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Finance & Accounting,13-12-1991,CO,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2
3529,2020-01-03,2020-08-24,Area Sales Manager,Samuel Moore,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Camera spring color about energy provide claim.,Sales,Field Operations,18-06-1994,IN,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2
3530,2019-11-13,,Area Sales Manager,Jenna Weaver,TNS,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Field Operations,16-06-1993,CA,Tower Hand,Female,62321,Black,Widowed,Fully Meets,2
3531,2023-06-17,,Area Sales Manager,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,18-05-1943,CA,Project Manager,Male,18409,Black,Divorced,Fully Meets,1
3532,2021-10-14,,Area Sales Manager,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,Unk,,IT/IS,Wireless,27-11-1966,OR,Technician,Female,40306,Black,Widowed,Fully Meets,1
3533,2021-06-01,2023-07-16,Area Sales Manager,Kelsey Gibson,MSC,Active,Contract,Zone B,Full-Time,Voluntary,Pass language out side age evidence.,Sales,General - Sga,12/11/1966,ND,Administrator,Male,65183,White,Married,Fully Meets,2
3534,2018-09-14,,Area Sales Manager,Sonia Diaz,TNS,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Engineers,16-08-1959,KY,Engineer,Female,97002,Asian,Single,Fully Meets,4
3535,2018-12-11,2022-06-02,Area Sales Manager,Brian Morton,PYZ,Active,Full-Time,Zone A,Temporary,Retirement,Popular west moment natural step activity.,Sales,Fielders,2/2/1994,KY,Engineer,Female,29811,Black,Single,Fully Meets,4
3536,2022-08-06,,Area Sales Manager,Thomas Holmes,WBL,Active,Contract,Zone C,Temporary,Unk,,Sales,General - Sga,2/1/1989,GA,Administrative,Female,89169,Black,Single,Fully Meets,2
3537,2022-05-28,2023-02-24,Area Sales Manager,Dawn Perez,NEL,Future Start,Contract,Zone C,Part-Time,Retirement,Manager lead both sing.,Sales,Field Operations,11/7/1954,TX,Foreman,Male,63882,Hispanic,Married,Fully Meets,2
3538,2019-06-16,2022-03-05,Area Sales Manager,Diane Parker,PL,Future Start,Part-Time,Zone C,Part-Time,Resignation,And after why station much cell low.,Sales,Fielders,29-08-1959,TX,Engineer,Male,62328,Asian,Widowed,Fully Meets,2
3539,2019-12-08,,Area Sales Manager,John Johnson,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,General - Con,27-11-1983,CO,Foreman,Male,74448,Hispanic,Single,Fully Meets,5
3540,2020-03-12,2022-10-09,Area Sales Manager,Dakota Robinson,CCDR,Active,Full-Time,Zone B,Part-Time,Retirement,American rule surface very figure.,Sales,Splicing,9/6/1983,CO,Supervisor,Male,18721,White,Widowed,Exceeds,4
3541,2020-04-06,2023-07-24,Area Sales Manager,Melanie Garcia,SVG,Active,Full-Time,Zone B,Full-Time,Involuntary,Read stand western white article campaign dog.,Sales,Field Operations,27-10-1991,IN,Technician,Male,78938,Black,Married,Exceeds,2
3542,2023-04-15,,Area Sales Manager,Amanda Knight,EW,Active,Contract,Zone A,Temporary,Unk,,Sales,Field Operations,1/3/1948,IN,Manager,Male,45456,White,Married,Needs Improvement,1
3543,2020-11-10,,Area Sales Manager,Kimberly Cardenas,MSC,Active,Part-Time,Zone A,Temporary,Unk,,Sales,General - Con,18-02-1981,CA,Laborer,Female,45509,Black,Single,Fully Meets,2
3544,2023-06-29,2023-07-09,Area Sales Manager,Laura Salinas,TNS,Active,Contract,Zone A,Temporary,Retirement,Political likely land country.,Sales,Aerial,16-09-2000,CA,Foreman,Male,13902,Asian,Single,Fully Meets,2
3545,2022-03-07,,Area Sales Manager,Andres Jones,EW,Active,Full-Time,Zone C,Temporary,Unk,,IT/IS,Field Operations,28-01-1943,OR,Locator,Female,9733,Black,Widowed,Fully Meets,1
3546,2021-07-31,2023-01-27,Area Sales Manager,Jeffrey Huffman,CCDR,Active,Full-Time,Zone B,Part-Time,Voluntary,Baby million million soldier.,Sales,General - Con,14-07-1980,ND,Foreman,Male,35786,Hispanic,Widowed,Exceeds,1
