Supervisor,EmpID,JobFamily,DepartmentType,BusinessUnit,NumOfReports
Brandi Howell,3795,Production,Production       ,CCDR,1
Connie Blackburn,3796,Production,Production       ,SVG,1
Connie Martinez,3797,Production,Production       ,EW,1
Cheryl Martinez,3798,Production,Production       ,MSC,1
Ryan Carlson,3799,Production,Production       ,TNS,1
Jamie Henderson,3800,Production,Production       ,PYZ,1
Jamie Stark,3801,Production,Production       ,WBL,1
Michael Andrade,3802,Production,Production       ,NEL,1
Jason Haley,3803,Production,Production       ,PL,1
Virginia Short,3804,Production,Production       ,BPC,1
Heather Bell,3805,Production,Production       ,CCDR,1
Maria Obrien,3806,Production,Production       ,SVG,1
George Doyle,3807,Production,Production       ,EW,1
Jason Miller,3808,IT & Infrastructure,IT/IS,PYZ,1
Raymond Bird,3809,IT & Infrastructure,IT/IS,TNS,1
Thomas Wilson,3810,IT & Infrastructure,IT/IS,PL,1
Robin Wilson,3811,IT & Infrastructure,IT/IS,PL,1
Julie Lewis,3812,IT & Infrastructure,IT/IS,BPC,1
Joseph Mathews,3813,IT & Infrastructure,IT/IS,SVG,1
Karen Crawford,3814,IT & Infrastructure,IT/IS,EW,1
Mary Mcmillan,3815,IT & Infrastructure,IT/IS,SVG,1
Kyle Adams,3816,IT & Infrastructure,IT/IS,WBL,1
Jamie Baker,3817,IT & Infrastructure,IT/IS,CCDR,1
Daniel White,3818,IT & Infrastructure,IT/IS,CCDR,1
William Johnson,3819,IT & Infrastructure,IT/IS,MSC,1
George Tran,3820,IT & Infrastructure,IT/IS,EW,1
Jonathan Knight,3821,IT & Infrastructure,IT/IS,TNS,1
Calvin Williamson,3822,IT & Infrastructure,Executive Office,WBL,1
David Rodriguez,3823,IT & Infrastructure,Executive Office,TNS,1
Carolyn Richards,3824,IT & Infrastructure,IT/IS,SVG,1
Karen York,3825,IT & Infrastructure,IT/IS,PYZ,1
Jessica Hernandez,3826,IT & Infrastructure,IT/IS,PL,1
Dana Ballard,3827,IT & Infrastructure,IT/IS,NEL,1
Charles Duncan,3828,IT & Infrastructure,IT/IS,PL,1
Jesse Newman,3829,IT & Infrastructure,IT/IS,BPC,1
David Zavala,3830,Data & Analytics,IT/IS,CCDR,1
John Holt,3831,IT & Infrastructure,IT/IS,SVG,1
Melinda Mcintyre,3832,Data & Analytics,IT/IS,EW,1
Melissa Baker,3833,IT & Infrastructure,Executive Office,PYZ,1
Gregory Coleman,3834,IT & Infrastructure,Executive Office,WBL,1
Paul Smith,3835,IT & Infrastructure,IT/IS,NEL,2
Heather Farmer,3836,IT & Infrastructure,IT/IS,PL,1
Thomas Weaver,3837,IT & Infrastructure,IT/IS,BPC,1
Duane Le,3838,IT & Infrastructure,IT/IS,CCDR,1
Jason Morris DVM,3839,IT & Infrastructure,IT/IS,PL,1
Alex Lewis,3840,IT & Infrastructure,IT/IS,BPC,1
Kevin Gross,3841,Data & Analytics,IT/IS,CCDR,1
Clayton Robertson,3842,IT & Infrastructure,IT/IS,SVG,1
Melissa Pineda,3843,Data & Analytics,IT/IS,EW,1
Melissa Torres,3844,IT & Infrastructure,Executive Office,PYZ,2
Jordan Caldwell,3845,IT & Infrastructure,Executive Office,WBL,1
Anthony Neal,3846,IT & Infrastructure,IT/IS,NEL,1
Gregory Rodriguez,3847,IT & Infrastructure,IT/IS,PL,1
John Gordon,3848,IT & Infrastructure,IT/IS,BPC,1
Darryl Vargas,3849,IT & Infrastructure,IT/IS,CCDR,1
Cheryl Cook,3850,IT & Infrastructure,IT/IS,MSC,1
Thomas Hanson,3851,IT & Infrastructure,IT/IS,NEL,1
Dr. Eric Henderson,3852,Data & Analytics,IT/IS,PL,1
James Horn,3853,IT & Infrastructure,IT/IS,PYZ,1
Matthew Miranda,3854,IT & Infrastructure,Executive Office,WBL,1
Jason Patel,3855,IT & Infrastructure,Executive Office,WBL,1
Michael Young,3856,IT & Infrastructure,Executive Office,TNS,1
Lindsey Osborne,3857,IT & Infrastructure,IT/IS,SVG,1
Gerald Yu,3858,IT & Infrastructure,IT/IS,PYZ,1
Randall Keller,3859,IT & Infrastructure,IT/IS,PL,1
Ricky Banks,3860,IT & Infrastructure,IT/IS,NEL,1
Jessica Figueroa,3861,IT & Infrastructure,IT/IS,PL,1
Lindsey Gibson,3862,IT & Infrastructure,IT/IS,BPC,1
Jeremy Hanson,3863,Data & Analytics,IT/IS,CCDR,1
David Chung,3864,IT & Infrastructure,IT/IS,SVG,1
Jacob Russo,3865,IT & Infrastructure,Production       ,MSC,1
Harold Lee,3866,IT & Infrastructure,Executive Office,TNS,1
Heather Hill,3867,IT & Infrastructure,Executive Office,PYZ,1
Jasmine Smith,3868,IT & Infrastructure,IT/IS,WBL,1
Shawn Martin,3869,IT & Infrastructure,IT/IS,NEL,1
Mr. Todd Lawson,3870,IT & Infrastructure,IT/IS,PL,1
Laura Sanchez,3871,IT & Infrastructure,IT/IS,BPC,1
Jeffrey Ramos,3872,IT & Infrastructure,IT/IS,CCDR,1
Patricia Johnson,3873,IT & Infrastructure,IT/IS,NEL,1
Brandy Greer,3874,IT & Infrastructure,IT/IS,PL,1
Charles Velez,3875,IT & Infrastructure,IT/IS,BPC,1
Deborah Bell,3876,Data & Analytics,IT/IS,CCDR,1
Christian Ortega,3877,IT & Infrastructure,Executive Office,MSC,1
Michael Morton,3878,IT & Infrastructure,Executive Office,TNS,1
Brian Aguirre,3879,IT & Infrastructure,IT/IS,PYZ,1
Richard Gonzalez,3880,IT & Infrastructure,IT/IS,WBL,1
Karen Elliott,3881,IT & Infrastructure,IT/IS,NEL,1
Kelly Bean,3882,IT & Infrastructure,IT/IS,PL,1
Jacob Hamilton,3883,IT & Infrastructure,IT/IS,BPC,1
Barbara Skinner,3884,IT & Infrastructure,IT/IS,CCDR,1
Aaron Oconnor,3885,IT & Infrastructure,IT/IS,EW,1
Christine Mcgee,3886,IT & Infrastructure,IT/IS,MSC,1
Jose Moran,3887,IT & Infrastructure,IT/IS,NEL,1
Jimmy Beck,3888,Data & Analytics,IT/IS,PL,1
Lisa Chase,3889,IT & Infrastructure,Executive Office,TNS,1
Susan Livingston,3890,IT & Infrastructure,IT/IS,WBL,1
April Castillo,3891,IT & Infrastructure,IT/IS,BPC,1
Diane James,3892,IT & Infrastructure,IT/IS,CCDR,1
Allison Shannon,3893,IT & Infrastructure,IT/IS,EW,1
David Long,3894,IT & Infrastructure,IT/IS,MSC,1
Kelly Hall,3895,IT & Infrastructure,IT/IS,NEL,1
Rachel Sanchez,3896,IT & Infrastructure,IT/IS,PL,1
Hector Singleton,3897,IT & Infrastructure,IT/IS,NEL,1
Denise Oconnor,3898,IT & Infrastructure,IT/IS,PL,1
Ruben Cook,3899,IT & Infrastructure,IT/IS,BPC,1
Amy Duncan,3900,Data & Analytics,IT/IS,CCDR,1
Anthony Cruz MD,3901,IT & Infrastructure,Executive Office,EW,1
Michelle Perry,3902,IT & Infrastructure,Executive Office,MSC,1
Victoria Shaw,3903,IT & Infrastructure,IT/IS,TNS,1
Brad Lee,3904,IT & Infrastructure,IT/IS,PYZ,1
Todd Baker,3905,IT & Infrastructure,IT/IS,WBL,1
Samuel Padilla,3906,IT & Infrastructure,IT/IS,NEL,1
Michael Wright,3907,IT & Infrastructure,IT/IS,PL,1
Bryan Foley,3908,IT & Infrastructure,IT/IS,BPC,1
April Anderson MD,3909,IT & Infrastructure,IT/IS,CCDR,1
Matthew Calderon DDS,3910,IT & Infrastructure,IT/IS,WBL,1
Bryan Ramos,3911,IT & Infrastructure,IT/IS,NEL,1
Alan Harris,3912,IT & Infrastructure,IT/IS,PL,1
Rodney Hart,3913,IT & Infrastructure,IT/IS,BPC,1
Jorge Mayo,3914,IT & Infrastructure,Executive Office,SVG,1
Kimberly Good,3915,IT & Infrastructure,IT/IS,TNS,1
Stephanie Harris,3916,IT & Infrastructure,IT/IS,WBL,1
Ethan Allison,3917,IT & Infrastructure,IT/IS,PYZ,1
Christian Mullen,3918,IT & Infrastructure,IT/IS,WBL,1
Debra Oneal,3919,IT & Infrastructure,IT/IS,NEL,1
Cynthia Willis,3920,IT & Infrastructure,IT/IS,PL,1
Lauren Douglas,3921,IT & Infrastructure,IT/IS,BPC,1
Katherine Wright,3922,IT & Infrastructure,IT/IS,CCDR,1
Jennifer Lester,3923,IT & Infrastructure,IT/IS,WBL,1
Erin Tran,3924,IT & Infrastructure,IT/IS,NEL,1
Bill Barnes,3925,IT & Infrastructure,IT/IS,PL,1
Nicole Morales,3926,IT & Infrastructure,IT/IS,BPC,1
Gary Davidson,3927,IT & Infrastructure,Executive Office,SVG,1
Walter Powell,3928,IT & Infrastructure,IT/IS,TNS,1
Kimberly Wolf,3929,IT & Infrastructure,IT/IS,WBL,1
Patricia Andrews,3930,IT & Infrastructure,IT/IS,BPC,1
Michelle King,3931,IT & Infrastructure,IT/IS,CCDR,1
Kenneth Rodriguez,3932,IT & Infrastructure,IT/IS,EW,1
Kevin Hudson,3933,IT & Infrastructure,IT/IS,MSC,1
Dustin Sanchez,3934,IT & Infrastructure,IT/IS,NEL,1
